,81,12,,Horacio Castellanos Moya,El Arma en el Hombre,2001,136,
,82,13,,Natalia Timerman,Copo Vazio,2021,144,
,83,14,,César Aira,Em Havana,2016,32,
,84,15,,Andrei Platonov,The Foundation Pit,1930,164,
,85,16,,Hye-young Pyun,The Hole,2016,198,
,86,17,,César Aira,A Prova,1992,152,
,87,18,,Fogwill,Muchacha Punk,1992,64,
,88,19,,Margo Glantz,Las Genealogías,1981,258,
,89,20,,Mario Bellatin,Los Fantasmas del Masajista,2009,94,
,90,21,,Emmanuel Carrère,Um Romance Russo,2007,248,
,91,22,,Miguel de Unamuno,Niebla,1914,303,
,,,,,,,,
,Agosto,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,92,01,,Joca Reiners Terron,A Morte e o Meteoro,2019,120,
,93,02,,Philip Roth,A Humilhação,2009,104,
,94,03,,César Aira,Nouvelles Impressions du Petit Maroc,1991,45,
,95,04,,Clive Barker,The Damnation Game,1985,433,
,96,05,,Richard Laymon,Flesh,1987,368,
,97,06,,Richard Laymon,Dark Mountain,1987,358,
,98,07,,Elfriede Jelinek,The Piano Teacher,1983,288,
,99,08,,Jon Fosse,Septology I-II - The Other Name,2019,351,
,100,09,,Mario de Andrade,Macunaíma,1928,230,
,101,10,,Thomas Bernhard,Sim,1978,128,
,102,11,,César Aira,Diario de la Hepatitis,1993,49,
,103,12,,César Aira,Triano,2014,76,
,104,13,,Héctor Libertella,¡Cavernícolas!,1985,128,
,105,14,,Cormac McCarthy,The Road,2006,307,
,106,15,,Fiódor Dostoiévski,Um Jogador,1866,232,
,107,16,,Leonid Tsypkin,Summer in Baden-Baden,1981,160,
,108,17,,Vladimir Nabokov,O Mago,1939,80,
,109,18,,U. R. Ananthamurthy,Samskara,1965,175,
,,,,,,,,
,Setembro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,110,01,,Wolfgang Hilbig,Old Rendering Plant,1991,120,
,111,02,,J.G. Ballard,High Rise,1975,208,
,112,03,,Ayi Kwei Armah,The Beautyful Ones Are Not Yet Born,1968,236,
,113,04,,Amit Chaudhuri,Afternoon Raag,1993,208,
,114,05,,Amos Tutuola,My Life in the Bush of Ghosts,1954,180,
,115,06,,Amos Tutuola,O Bebedor de Vinho de Palmeira,1952,142,
,116,07,,Bessie Head,A Question of Power,1973,206,
,117,08,,Lourenço Mutarelli,Jesus Kid,2004,168,
,118,09,,Eliane Marques,Louças de Família,2023,280,
,119,10,,Rachid al-Daif,Learning English,2007,161,
,120,11,,Kathy Acker,Kathy Goes to Haiti,1978,174,
,,,,,,,,
,Outubro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,121,01,,Rachid al-Daif,Passage to Dusk,2001,100,
,122,02,,Ronald Sukenick,Up,1968,344,
,123,03,,Nona Fernández,Chilean Electric,2015,110,
,124,04,,Kenzaburo Oe,Uma Questão Pessoal,1964,224,
,125,05,,Kathy Acker,Childlike Life of the Black Tarantula,1973,152,
,126,06,,Juan Francisco Manzano ,A Autobiografia do Poeta-Escravo,1835,224,
,127,07,,Nona Fernández,Space Invaders,2013,88,
,128,08,,Lima Barreto,Diário do Hospício ,1920,308,
,129,09,,Lima Barreto,O Cemitério dos Vivos,1920,,
,130,10,,Lourenço Mutarelli,Eu Te Amo Lucimar,1994,95,
,131,11,,Lourenço Mutarelli,A Caixa de Areia: Ou Eu Era Dois no Meu Quintal,2006,144,
,132,12,,Constance Debré,Playboy,2018,176,
,133,13,,Verônica Stigger,Krakatoa,2024,176,
,134,14,,Eduard Limonov,"It's Me, Eddie",1976,272,
,135,15,,Ryū Murakami,Almost Transparent Blue,1976,127,
,136,16,,Luciano de Samósata,Uma História Verídica,Séc. II,88,
,137,17,,Cristovão Tezza,O Filho Eterno,2007,224,
,138,18,,César Aira,Moreira,1975,81,
,139,19,,Camila Sosa Villada,O Parque das Irmãs Magníficas,2019,208,
,140,20,,Ania Ahlborn,The Neighbors,2012,252,
,141,21,,Adam Nevill,The Vessel,2022,173,
,142,22,,Kathy Acker,I Dreamt I Was a Nymphomaniac: Imagining,1974,114,
,143,23,,Richard Laymon,In the Dark,1994,503,
,144,24,,César Aira,Continuação de Ideias Diversas,2014,92,
,,,,,,,,
,Novembro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,145,01,,César Aira,El Tilo,2003,128,
,146,02,,Kathy Acker,"Rip-Off Red, Girl Detective",1973,134,
,147,03,,Han Kang,Atos Humanos,2014,192,
,148,04,,Han Kang,O Livro Branco,2016,160,
,149,05,,Solvej Balle,Sobre o Cálculo do Volume: 1,2020,152,
,150,06,,Marcelo Mirisola,Joana a Contragosto,2005,192,
,151,07,,Marcelo Mirisola,Animais em Extinção,2008,176,
,152,08,,Muriel Spark,The Driver's Seat,1970,160,
,153,09,,Lars Gustafsson,The Tennis Players,1977,95,
,154,10,,Dag Solstad,Professor Andersen's Night,1996,168,
,155,11,,Richard Laymon,After Midnight,1997,406,
,156,12,,Oswaldo de Camargo,A Descoberta do Frio,1978,136,
,157,13,,Kathy Acker,Burning Bombing of America,1972,78,
,158,14,,César Aira,Los Misterios de Rosario,1994,210,
,159,15,,Mario Levrero,El Discurso Vacío,1996,180,
